battle_id,winner
1,SmartBotTrai hxik8
2,SmartBotTrai 9azf1
3,SmartBotTrai 9azf1
4,SmartBotTrai 9azf1
5,SmartBotTrai hxik8
6,SmartBotTrai hxik8
7,SmartBotTrai 9azf1
8,SmartBotTrai 9azf1
9,SmartBotTrai 9azf1
10,SmartBotTrai 9azf1
11,SmartBotTrai 9azf1
12,SmartBotTrai hxik8
13,SmartBotTrai hxik8
14,SmartBotTrai hxik8
15,SmartBotTrai hxik8
16,SmartBotTrai 9azf1
17,SmartBotTrai 9azf1
18,SmartBotTrai hxik8
19,SmartBotTrai 9azf1
20,SmartBotTrai 9azf1
21,SmartBotTrai 9azf1
22,SmartBotTrai 9azf1
23,SmartBotTrai hxik8
24,SmartBotTrai 9azf1
25,SmartBotTrai hxik8
26,SmartBotTrai hxik8
27,SmartBotTrai 9azf1
28,SmartBotTrai 9azf1
29,SmartBotTrai hxik8
30,SmartBotTrai 9azf1
31,SmartBotTrai hxik8
32,SmartBotTrai 9azf1
33,SmartBotTrai hxik8
34,SmartBotTrai hxik8
35,SmartBotTrai 9azf1
36,SmartBotTrai 9azf1
37,SmartBotTrai hxik8
38,SmartBotTrai 9azf1
39,SmartBotTrai hxik8
40,SmartBotTrai hxik8
41,SmartBotTrai 9azf1
42,SmartBotTrai hxik8
43,SmartBotTrai 9azf1
44,SmartBotTrai hxik8
45,SmartBotTrai 9azf1
46,SmartBotTrai hxik8
47,SmartBotTrai hxik8
48,SmartBotTrai 9azf1
49,SmartBotTrai 9azf1
50,SmartBotTrai hxik8
51,SmartBotTrai hxik8
52,SmartBotTrai hxik8
53,SmartBotTrai 9azf1
54,SmartBotTrai hxik8
55,SmartBotTrai hxik8
56,SmartBotTrai hxik8
57,SmartBotTrai 9azf1
58,SmartBotTrai 9azf1
59,SmartBotTrai hxik8
60,SmartBotTrai hxik8
61,SmartBotTrai 9azf1
62,SmartBotTrai 9azf1
63,SmartBotTrai hxik8
64,SmartBotTrai 9azf1
65,SmartBotTrai hxik8
66,SmartBotTrai hxik8
67,SmartBotTrai hxik8
68,SmartBotTrai hxik8
69,SmartBotTrai hxik8
70,SmartBotTrai 9azf1
71,SmartBotTrai hxik8
72,SmartBotTrai 9azf1
73,SmartBotTrai hxik8
74,SmartBotTrai hxik8
75,SmartBotTrai 9azf1
76,SmartBotTrai hxik8
77,SmartBotTrai hxik8
78,SmartBotTrai hxik8
79,SmartBotTrai hxik8
80,SmartBotTrai hxik8
81,SmartBotTrai 9azf1
82,SmartBotTrai hxik8
83,SmartBotTrai 9azf1
84,SmartBotTrai 9azf1
85,SmartBotTrai hxik8
86,SmartBotTrai 9azf1
87,SmartBotTrai hxik8
88,SmartBotTrai 9azf1
89,SmartBotTrai hxik8
90,SmartBotTrai hxik8
91,SmartBotTrai hxik8
92,SmartBotTrai 9azf1
93,SmartBotTrai 9azf1
94,SmartBotTrai hxik8
95,SmartBotTrai 9azf1
96,SmartBotTrai hxik8
97,SmartBotTrai hxik8
98,SmartBotTrai hxik8
99,SmartBotTrai 9azf1
100,SmartBotTrai 9azf1
101,SmartBotTrai hxik8
102,SmartBotTrai hxik8
103,SmartBotTrai 9azf1
104,SmartBotTrai hxik8
105,SmartBotTrai hxik8
106,SmartBotTrai 9azf1
107,SmartBotTrai hxik8
108,SmartBotTrai 9azf1
109,SmartBotTrai hxik8
110,SmartBotTrai hxik8
111,SmartBotTrai hxik8
112,SmartBotTrai 9azf1
113,SmartBotTrai 9azf1
114,SmartBotTrai 9azf1
115,SmartBotTrai 9azf1
116,SmartBotTrai hxik8
117,SmartBotTrai hxik8
118,SmartBotTrai 9azf1
119,SmartBotTrai 9azf1
120,SmartBotTrai 9azf1
121,SmartBotTrai hxik8
122,SmartBotTrai hxik8
123,SmartBotTrai hxik8
124,SmartBotTrai hxik8
125,SmartBotTrai 9azf1
126,SmartBotTrai 9azf1
127,SmartBotTrai hxik8
128,SmartBotTrai hxik8
129,SmartBotTrai hxik8
130,SmartBotTrai hxik8
131,SmartBotTrai hxik8
132,SmartBotTrai 9azf1
133,SmartBotTrai hxik8
134,SmartBotTrai hxik8
135,SmartBotTrai 9azf1
136,SmartBotTrai 9azf1
137,SmartBotTrai 9azf1
138,SmartBotTrai hxik8
139,SmartBotTrai hxik8
140,SmartBotTrai hxik8
141,SmartBotTrai 9azf1
142,SmartBotTrai hxik8
143,SmartBotTrai 9azf1
144,SmartBotTrai hxik8
145,SmartBotTrai 9azf1
146,SmartBotTrai hxik8
147,SmartBotTrai hxik8
148,SmartBotTrai 9azf1
149,SmartBotTrai 9azf1
150,SmartBotTrai hxik8
151,SmartBotTrai 9azf1
152,SmartBotTrai hxik8
153,SmartBotTrai hxik8
154,SmartBotTrai 9azf1
155,SmartBotTrai 9azf1
156,SmartBotTrai hxik8
157,SmartBotTrai 9azf1
158,SmartBotTrai 9azf1
159,SmartBotTrai 9azf1
160,SmartBotTrai hxik8
161,SmartBotTrai hxik8
162,SmartBotTrai hxik8
163,SmartBotTrai 9azf1
